"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"2026-05-21 오후 10:54:45","4658","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA087E

개체:
	개체 서버:		Security
	핸들 ID:		0x3008

프로세스 정보:
	프로세스 ID:		0x1b50
	프로세스 이름:		C:\Windows\explorer.exe"
"2026-05-21 오후 10:54:45","4663","정보","Microsoft-Windows-Security-Auditing","개체에 액세스하려고 했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA087E

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\GT
	핸들 ID:		0x3008
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b50
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	ReadData (또는 ListDirectory)
				
	액세스 마스크:	0x1"
"2026-05-21 오후 10:54:45","4656","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA087E

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\GT
	핸들 ID:		0x3008
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b50
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		SYNCHRONIZE
				ReadData (또는 ListDirectory)
				ReadAttributes
				
	액세스 이유:		SYNCHRONIZE:	허가됨	D:(A;OICIID;0x1200a9;;;BU)
				ReadData (또는 ListDirectory):	허가됨	D:(A;OICIID;0x1200a9;;;BU)
				ReadAttributes:	허가됨	D:(A;OICIID;0x1200a9;;;BU)
				
	액세스 마스크:		0x100081
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
"2026-05-21 오후 10:54:45","4658","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA087E

개체:
	개체 서버:		Security
	핸들 ID:		0x1570

프로세스 정보:
	프로세스 ID:		0x1b50
	프로세스 이름:		C:\Windows\explorer.exe"
"2026-05-21 오후 10:54:45","4690","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 중복하려고 했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA087E

원본 핸들 정보:
	원본 핸들 ID:	0x3008
	원본 프로세스 ID:	0x1b50

새 핸들 정보:
	대상 핸들 ID:	0x1570
	대상 프로세스 ID:	0x4"
"2026-05-21 오후 10:54:44","4658","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA0844

개체:
	개체 서버:		Security
	핸들 ID:		0xc28

프로세스 정보:
	프로세스 ID:		0x183c
	프로세스 이름:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"2026-05-21 오후 10:54:44","4663","정보","Microsoft-Windows-Security-Auditing","개체에 액세스하려고 했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA0844

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\GT\ground_truth.json
	핸들 ID:		0xc28
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x183c
	프로세스 이름:	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe

액세스 요청 정보:
	액세스:	WriteData (또는 AddFile)
				
	액세스 마스크:	0x2"
"2026-05-21 오후 10:54:44","4656","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA0844

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\GT\ground_truth.json
	핸들 ID:		0xc28
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x183c
	프로세스 이름:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		READ_CONTROL
				SYNCHRONIZE
				WriteData (또는 AddFile)
				AppendData (또는 AddSubdirectory 또는 CreatePipeInstance)
				WriteEA
				ReadAttributes
				WriteAttributes
				
	액세스 이유:		READ_CONTROL:	소유권에 의해 허가됨
				SYNCHRONIZE:	허가됨	D:(A;ID;FA;;;BA)
				WriteData (또는 AddFile):	허가됨	D:(A;ID;FA;;;BA)
				AppendData (또는 AddSubdirectory 또는 CreatePipeInstance):	허가됨	D:(A;ID;FA;;;BA)
				WriteEA:	허가됨	D:(A;ID;FA;;;BA)
				ReadAttributes:	허가됨	D:(A;ID;FA;;;BA)
				WriteAttributes:	허가됨	D:(A;ID;FA;;;BA)
				
	액세스 마스크:		0x120196
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
"2026-05-21 오후 10:54:44","4658","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA0844

개체:
	개체 서버:		Security
	핸들 ID:		0x2474

프로세스 정보:
	프로세스 ID:		0x183c
	프로세스 이름:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"2026-05-21 오후 10:54:44","4690","정보","Microsoft-Windows-Security-Auditing","개체에 대한 핸들을 중복하려고 했습니다.

주체:
	보안 ID:		S-1-5-21-2594653835-1402542473-695412533-1001
	계정 이름:		jso45
	계정 도메인:		DESKTOP-BAK6QER
	로그온 ID:		0xA0844

원본 핸들 정보:
	원본 핸들 ID:	0xc28
	원본 프로세스 ID:	0x183c

새 핸들 정보:
	대상 핸들 ID:	0x2474
	대상 프로세스 ID:	0x4"
